Date,Time,HomeTeam,Score,AwayTeam,Week,Season
12/11/1972,,Belenenses,4-0,Leixões,J10,1972-1973
12/11/1972,,Barreirense,1-1,Boavista,J10,1972-1973
05/11/1972,14:00,Montijo,1-1,Belenenses,J9,1972-1973
05/11/1972,,Vitória SC,3-3,U. Tomar,J9,1972-1973
05/11/1972,,Leixões,1-0,Barreirense,J9,1972-1973
05/11/1972,,CUF,1-1,Farense,J9,1972-1973
05/11/1972,,Boavista,3-2,Sporting,J9,1972-1973
05/11/1972,,Benfica,3-2,FC Porto,J9,1972-1973
05/11/1972,,Beira-Mar,1-1,U. Coimbra,J9,1972-1973
05/11/1972,,Atlético CP,3-3,Vitória FC,J9,1972-1973
29/10/1972,,Vitória FC,0-1,Benfica,J8,1972-1973
29/10/1972,,U. Tomar,3-1,Farense,J8,1972-1973
29/10/1972,,U. Coimbra,2-3,Boavista,J8,1972-1973
29/10/1972,,Sporting,0-1,Leixões,J8,1972-1973
29/10/1972,,FC Porto,1-2,Vitória SC,J8,1972-1973
29/10/1972,,Belenenses,3-2,Atlético CP,J8,1972-1973
29/10/1972,,Beira-Mar,1-2,CUF,J8,1972-1973
29/10/1972,,Barreirense,4-4,Montijo,J8,1972-1973
22/10/1972,15:00,Montijo,0-0,Sporting,J7,1972-1973
22/10/1972,,Vitória SC,1-0,Vitória FC,J7,1972-1973
22/10/1972,,Farense,1-1,FC Porto,J7,1972-1973
22/10/1972,,CUF,2-1,U. Tomar,J7,1972-1973
22/10/1972,,Boavista,1-1,Beira-Mar,J7,1972-1973
22/10/1972,,Benfica,5-0,Belenenses,J7,1972-1973
22/10/1972,,Atlético CP,1-3,Barreirense,J7,1972-1973
21/10/1972,16:00,Leixões,0-0,U. Coimbra,J7,1972-1973
15/10/1972,,Vitória FC,5-0,Farense,J6,1972-1973
15/10/1972,,U. Coimbra,0-1,Montijo,J6,1972-1973
15/10/1972,,Sporting,4-1,Atlético CP,J6,1972-1973
15/10/1972,,FC Porto,4-1,U. Tomar,J6,1972-1973
15/10/1972,,Boavista,1-0,CUF,J6,1972-1973
15/10/1972,,Beira-Mar,0-1,Leixões,J6,1972-1973
15/10/1972,,Barreirense,0-3,Benfica,J6,1972-1973
14/10/1972,,Belenenses,2-1,Vitória SC,J6,1972-1973
08/10/1972,,Vitória SC,3-1,Barreirense,J5,1972-1973
08/10/1972,,U. Tomar,1-0,Vitória FC,J5,1972-1973
08/10/1972,,Montijo,0-1,Beira-Mar,J5,1972-1973
08/10/1972,,Leixões,3-0,Boavista,J5,1972-1973
08/10/1972,,Farense,0-0,Belenenses,J5,1972-1973
08/10/1972,,CUF,0-2,FC Porto,J5,1972-1973
08/10/1972,,Benfica,4-1,Sporting,J5,1972-1973
08/10/1972,,Atlético CP,0-0,U. Coimbra,J5,1972-1973
01/10/1972,,Vitória FC,3-0,FC Porto,J4,1972-1973
01/10/1972,,U. Coimbra,0-4,Benfica,J4,1972-1973
01/10/1972,,Sporting,2-0,Vitória SC,J4,1972-1973
01/10/1972,,Leixões,2-3,CUF,J4,1972-1973
01/10/1972,,Boavista,3-0,Montijo,J4,1972-1973
01/10/1972,,Belenenses,2-0,U. Tomar,J4,1972-1973
01/10/1972,,Beira-Mar,1-1,Atlético CP,J4,1972-1973
01/10/1972,,Barreirense,4-1,Farense,J4,1972-1973
24/09/1972,,Vitória SC,3-1,U. Coimbra,J3,1972-1973
24/09/1972,,U. Tomar,3-1,Barreirense,J3,1972-1973
24/09/1972,,Montijo,2-0,Leixões,J3,1972-1973
24/09/1972,,FC Porto,1-1,Belenenses,J3,1972-1973
24/09/1972,,CUF,2-4,Vitória FC,J3,1972-1973
24/09/1972,,Benfica,9-0,Beira-Mar,J3,1972-1973
24/09/1972,,Atlético CP,1-3,Boavista,J3,1972-1973
23/09/1972,,Farense,1-3,Sporting,J3,1972-1973
17/09/1972,16:00,U. Coimbra,1-0,Farense,J2,1972-1973
17/09/1972,16:00,Montijo,0-1,CUF,J2,1972-1973
17/09/1972,16:00,Boavista,1-3,Benfica,J2,1972-1973
17/09/1972,16:00,Belenenses,3-2,Vitória FC,J2,1972-1973
17/09/1972,16:00,Beira-Mar,1-0,Vitória SC,J2,1972-1973
17/09/1972,16:00,Barreirense,0-0,FC Porto,J2,1972-1973
16/09/1972,21:45,Sporting,4-0,U. Tomar,J2,1972-1973
16/09/1972,17:00,Leixões,1-0,Atlético CP,J2,1972-1973
10/09/1972,16:00,Vitória SC,4-0,Boavista,J1,1972-1973
10/09/1972,16:00,U. Tomar,1-0,U. Coimbra,J1,1972-1973
10/09/1972,16:00,FC Porto,0-1,Sporting,J1,1972-1973
10/09/1972,16:00,CUF,1-2,Belenenses,J1,1972-1973
10/09/1972,16:00,Atlético CP,1-3,Montijo,J1,1972-1973
10/09/1972,,Farense,3-2,Beira-Mar,J1,1972-1973
09/09/1972,21:45,Vitória FC,5-0,Barreirense,J1,1972-1973
09/09/1972,21:45,Benfica,6-0,Leixões,J1,1972-1973
28/05/1972,,Vitória SC,2-1,Boavista,J30,1971-1972
28/05/1972,,Sporting,2-0,U. Tomar,J30,1971-1972
28/05/1972,,Leixões,0-1,Atlético CP,J30,1971-1972
28/05/1972,,Farense,2-5,Benfica,J30,1971-1972
28/05/1972,,FC Porto,6-0,Tirsense,J30,1971-1972
28/05/1972,,CUF,5-1,Beira-Mar,J30,1971-1972
28/05/1972,,Belenenses,0-0,Vitória FC,J30,1971-1972
28/05/1972,,Académica OAF,2-0,Barreirense,J30,1971-1972
24/05/1972,,Barreirense,1-0,Académica OAF,J15,1971-1972
21/05/1972,16:00,Beira-Mar,1-5,FC Porto,J29,1971-1972
21/05/1972,,Vitória FC,0-1,CUF,J29,1971-1972
21/05/1972,,U. Tomar,3-2,Vitória SC,J29,1971-1972
21/05/1972,,Tirsense,2-0,Farense,J29,1971-1972
21/05/1972,,Boavista,2-0,Académica OAF,J29,1971-1972
21/05/1972,,Benfica,2-1,Sporting,J29,1971-1972
21/05/1972,,Barreirense,4-0,Leixões,J29,1971-1972
21/05/1972,,Atlético CP,1-1,Belenenses,J29,1971-1972
14/05/1972,,Vitória SC,1-3,Benfica,J28,1971-1972
14/05/1972,,Sporting,3-2,Tirsense,J28,1971-1972
14/05/1972,,Leixões,0-0,Boavista,J28,1971-1972
14/05/1972,,Farense,2-0,Beira-Mar,J28,1971-1972
14/05/1972,,FC Porto,0-1,Vitória FC,J28,1971-1972
14/05/1972,,CUF,0-1,Belenenses,J28,1971-1972
14/05/1972,,Atlético CP,1-0,Barreirense,J28,1971-1972
14/05/1972,,Académica OAF,3-0,U. Tomar,J28,1971-1972
07/05/1972,,Vitória FC,4-0,Farense,J27,1971-1972
07/05/1972,,U. Tomar,1-0,Leixões,J27,1971-1972
07/05/1972,,Tirsense,1-2,Vitória SC,J27,1971-1972
07/05/1972,,CUF,1-0,FC Porto,J27,1971-1972
07/05/1972,,Boavista,2-1,Atlético CP,J27,1971-1972
07/05/1972,,Benfica,3-1,Académica OAF,J27,1971-1972
07/05/1972,,Belenenses,1-2,Barreirense,J27,1971-1972
07/05/1972,,Beira-Mar,0-1,Sporting,J27,1971-1972
26/04/1972,,Sporting,0-0,Vitória FC,J26,1971-1972
16/04/1972,,Vitória SC,5-1,Beira-Mar,J26,1971-1972
16/04/1972,,Leixões,0-1,Benfica,J26,1971-1972
16/04/1972,,Farense,2-2,CUF,J26,1971-1972
16/04/1972,,FC Porto,3-2,Belenenses,J26,1971-1972
16/04/1972,,Barreirense,0-1,Boavista,J26,1971-1972
16/04/1972,,Académica OAF,1-1,Tirsense,J26,1971-1972
15/04/1972,,Atlético CP,2-0,U. Tomar,J26,1971-1972
09/04/1972,,Vitória FC,1-0,Vitória SC,J25,1971-1972
09/04/1972,,U. Tomar,4-1,Barreirense,J25,1971-1972
09/04/1972,,Tirsense,2-4,Leixões,J25,1971-1972
09/04/1972,,FC Porto,2-0,Farense,J25,1971-1972
09/04/1972,,CUF,0-0,Sporting,J25,1971-1972
09/04/1972,,Benfica,5-1,Atlético CP,J25,1971-1972
09/04/1972,,Belenenses,4-1,Boavista,J25,1971-1972
09/04/1972,,Beira-Mar,1-0,Académica OAF,J25,1971-1972
26/03/1972,,Vitória SC,0-0,CUF,J24,1971-1972
26/03/1972,,Sporting,2-1,FC Porto,J24,1971-1972
26/03/1972,,Leixões,2-1,Beira-Mar,J24,1971-1972
26/03/1972,,Farense,3-1,Belenenses,J24,1971-1972
26/03/1972,,Boavista,2-0,U. Tomar,J24,1971-1972
26/03/1972,,Barreirense,1-0,Benfica,J24,1971-1972
26/03/1972,,Académica OAF,0-2,Vitória FC,J24,1971-1972
25/03/1972,,Atlético CP,2-1,Tirsense,J24,1971-1972
19/03/1972,,Vitória FC,4-0,Leixões,J23,1971-1972
19/03/1972,,Tirsense,0-1,Barreirense,J23,1971-1972
19/03/1972,,Farense,1-1,Sporting,J23,1971-1972
19/03/1972,,FC Porto,1-2,Vitória SC,J23,1971-1972
19/03/1972,,CUF,2-2,Académica OAF,J23,1971-1972
19/03/1972,,Belenenses,2-0,U. Tomar,J23,1971-1972
19/03/1972,,Beira-Mar,5-0,Atlético CP,J23,1971-1972
18/03/1972,,Benfica,2-0,Boavista,J23,1971-1972
12/03/1972,,Vitória SC,5-1,Farense,J22,1971-1972
12/03/1972,,U. Tomar,0-1,Benfica,J22,1971-1972
12/03/1972,,Sporting,2-1,Belenenses,J22,1971-1972
12/03/1972,,Leixões,0-0,CUF,J22,1971-1972
12/03/1972,,Boavista,1-1,Tirsense,J22,1971-1972
12/03/1972,,Barreirense,4-0,Beira-Mar,J22,1971-1972
12/03/1972,,Atlético CP,2-2,Vitória FC,J22,1971-1972
12/03/1972,,Académica OAF,0-1,FC Porto,J22,1971-1972
27/02/1972,,Vitória FC,4-0,Barreirense,J21,1971-1972
27/02/1972,,Tirsense,1-0,U. Tomar,J21,1971-1972
27/02/1972,,Sporting,3-0,Vitória SC,J21,1971-1972
27/02/1972,,Farense,4-2,Académica OAF,J21,1971-1972
27/02/1972,,FC Porto,2-0,Leixões,J21,1971-1972
27/02/1972,,CUF,1-1,Atlético CP,J21,1971-1972
27/02/1972,,Belenenses,0-1,Benfica,J21,1971-1972
27/02/1972,,Beira-Mar,1-1,Boavista,J21,1971-1972
20/02/1972,,Vitória SC,1-1,Belenenses,J20,1971-1972
20/02/1972,,U. Tomar,2-0,Beira-Mar,J20,1971-1972
20/02/1972,,Leixões,1-0,Farense,J20,1971-1972
20/02/1972,,Boavista,1-1,Vitória FC,J20,1971-1972
20/02/1972,,Benfica,7-0,Tirsense,J20,1971-1972
20/02/1972,,Barreirense,0-2,CUF,J20,1971-1972
20/02/1972,,Atlético CP,1-1,FC Porto,J20,1971-1972
20/02/1972,,Académica OAF,3-3,Sporting,J20,1971-1972
13/02/1972,,Vitória SC,0-0,Académica OAF,J19,1971-1972
13/02/1972,,Vitória FC,5-0,U. Tomar,J19,1971-1972
13/02/1972,,Sporting,2-2,Leixões,J19,1971-1972
13/02/1972,,Farense,3-1,Atlético CP,J19,1971-1972
13/02/1972,,FC Porto,1-1,Barreirense,J19,1971-1972
13/02/1972,,CUF,2-0,Boavista,J19,1971-1972
13/02/1972,,Belenenses,1-0,Tirsense,J19,1971-1972
13/02/1972,,Beira-Mar,1-3,Benfica,J19,1971-1972
06/02/1972,,U. Tomar,1-1,CUF,J18,1971-1972
06/02/1972,,Tirsense,1-1,Beira-Mar,J18,1971-1972
06/02/1972,,Leixões,1-1,Vitória SC,J18,1971-1972
06/02/1972,,Boavista,1-2,FC Porto,J18,1971-1972
06/02/1972,,Benfica,0-0,Vitória FC,J18,1971-1972
06/02/1972,,Barreirense,3-1,Farense,J18,1971-1972
06/02/1972,,Atlético CP,0-0,Sporting,J18,1971-1972
06/02/1972,,Académica OAF,2-0,Belenenses,J18,1971-1972
30/01/1972,,Vitória SC,1-1,Atlético CP,J17,1971-1972
30/01/1972,,Vitória FC,6-0,Tirsense,J17,1971-1972
30/01/1972,,Sporting,3-0,Barreirense,J17,1971-1972
30/01/1972,,Farense,1-1,Boavista,J17,1971-1972
30/01/1972,,FC Porto,1-1,U. Tomar,J17,1971-1972
30/01/1972,,CUF,0-2,Benfica,J17,1971-1972
30/01/1972,,Belenenses,0-0,Beira-Mar,J17,1971-1972
30/01/1972,,Académica OAF,0-0,Leixões,J17,1971-1972
26/01/1972,,Boavista,0-1,Vitória SC,J15,1971-1972
23/01/1972,,U. Tomar,0-0,Farense,J16,1971-1972
23/01/1972,,Tirsense,1-1,CUF,J16,1971-1972
23/01/1972,,Leixões,1-3,Belenenses,J16,1971-1972
23/01/1972,,Boavista,1-1,Sporting,J16,1971-1972
23/01/1972,,Benfica,1-0,FC Porto,J16,1971-1972
23/01/1972,,Beira-Mar,2-2,Vitória FC,J16,1971-1972
23/01/1972,,Barreirense,2-2,Vitória SC,J16,1971-1972
23/01/1972,,Atlético CP,1-1,Académica OAF,J16,1971-1972
19/01/1972,16:00,Atlético CP,2-0,Leixões,J15,1971-1972
16/01/1972,,Vitória FC,1-1,Belenenses,J15,1971-1972
16/01/1972,,U. Tomar,0-2,Sporting,J15,1971-1972
16/01/1972,,Beira-Mar,1-1,CUF,J15,1971-1972
09/01/1972,,Tirsense,3-3,FC Porto,J15,1971-1972
05/01/1972,,Benfica,2-0,Farense,J15,1971-1972
02/01/1972,,Vitória SC,2-0,U. Tomar,J14,1971-1972
02/01/1972,,Sporting,0-3,Benfica,J14,1971-1972
02/01/1972,,Leixões,2-0,Barreirense,J14,1971-1972
02/01/1972,,Farense,2-0,Tirsense,J14,1971-1972
02/01/1972,,FC Porto,1-0,Beira-Mar,J14,1971-1972
02/01/1972,,CUF,2-2,Vitória FC,J14,1971-1972
02/01/1972,,Belenenses,3-1,Atlético CP,J14,1971-1972
02/01/1972,,Académica OAF,3-1,Boavista,J14,1971-1972
26/12/1971,,Vitória FC,2-0,FC Porto,J13,1971-1972
26/12/1971,,U. Tomar,2-1,Académica OAF,J13,1971-1972
26/12/1971,,Tirsense,3-5,Sporting,J13,1971-1972
26/12/1971,,Boavista,1-3,Leixões,J13,1971-1972
26/12/1971,,Beira-Mar,1-1,Farense,J13,1971-1972
26/12/1971,,Barreirense,2-1,Atlético CP,J13,1971-1972
23/12/1971,,Benfica,3-0,Vitória SC,J13,1971-1972
22/12/1971,,Belenenses,1-1,CUF,J13,1971-1972
19/12/1971,15:00,Vitória SC,7-1,Tirsense,J12,1971-1972
19/12/1971,15:00,Sporting,0-1,Beira-Mar,J12,1971-1972
19/12/1971,15:00,Farense,0-2,Vitória FC,J12,1971-1972
19/12/1971,15:00,FC Porto,1-0,CUF,J12,1971-1972
19/12/1971,15:00,Barreirense,1-2,Belenenses,J12,1971-1972
19/12/1971,15:00,Atlético CP,1-1,Boavista,J12,1971-1972
19/12/1971,15:00,Académica OAF,0-3,Benfica,J12,1971-1972
18/12/1971,15:00,Leixões,0-1,U. Tomar,J12,1971-1972
12/12/1971,15:00,Vitória FC,0-0,Sporting,J11,1971-1972
12/12/1971,15:00,U. Tomar,3-1,Atlético CP,J11,1971-1972
12/12/1971,15:00,Tirsense,1-0,Académica OAF,J11,1971-1972
12/12/1971,15:00,Boavista,1-2,Barreirense,J11,1971-1972
12/12/1971,15:00,Benfica,6-0,Leixões,J11,1971-1972
12/12/1971,15:00,Belenenses,3-2,FC Porto,J11,1971-1972
12/12/1971,15:00,Beira-Mar,2-1,Vitória SC,J11,1971-1972
11/12/1971,15:30,CUF,2-1,Farense,J11,1971-1972
05/12/1971,15:00,Vitória SC,1-1,Vitória FC,J10,1971-1972
05/12/1971,15:00,Sporting,3-0,CUF,J10,1971-1972
05/12/1971,15:00,Leixões,1-1,Tirsense,J10,1971-1972
05/12/1971,15:00,Farense,0-0,FC Porto,J10,1971-1972
05/12/1971,15:00,Boavista,2-0,Belenenses,J10,1971-1972
05/12/1971,15:00,Barreirense,0-3,U. Tomar,J10,1971-1972
05/12/1971,15:00,Atlético CP,1-5,Benfica,J10,1971-1972
05/12/1971,15:00,Académica OAF,0-1,Beira-Mar,J10,1971-1972
28/11/1971,,Vitória FC,1-0,Académica OAF,J9,1971-1972
28/11/1971,,U. Tomar,0-0,Boavista,J9,1971-1972
28/11/1971,,Tirsense,1-0,Atlético CP,J9,1971-1972
28/11/1971,,FC Porto,0-0,Sporting,J9,1971-1972
28/11/1971,,CUF,5-3,Vitória SC,J9,1971-1972
28/11/1971,,Benfica,5-1,Barreirense,J9,1971-1972
28/11/1971,,Belenenses,2-1,Farense,J9,1971-1972
28/11/1971,,Beira-Mar,0-0,Leixões,J9,1971-1972
14/11/1971,,Leixões,1-0,Académica OAF,J2,1971-1972
07/11/1971,15:00,Vitória SC,0-4,FC Porto,J8,1971-1972
07/11/1971,15:00,U. Tomar,0-0,Belenenses,J8,1971-1972
07/11/1971,15:00,Sporting,2-0,Farense,J8,1971-1972
07/11/1971,15:00,Boavista,2-2,Benfica,J8,1971-1972
07/11/1971,15:00,Barreirense,2-1,Tirsense,J8,1971-1972
07/11/1971,15:00,Atlético CP,2-3,Beira-Mar,J8,1971-1972
07/11/1971,15:00,Académica OAF,0-1,CUF,J8,1971-1972
07/11/1971,,Leixões,1-3,Vitória FC,J8,1971-1972
31/10/1971,,Vitória FC,3-0,Atlético CP,J7,1971-1972
31/10/1971,,Tirsense,1-0,Boavista,J7,1971-1972
31/10/1971,,Farense,1-0,Vitória SC,J7,1971-1972
31/10/1971,,FC Porto,2-3,Académica OAF,J7,1971-1972
31/10/1971,,CUF,4-0,Leixões,J7,1971-1972
31/10/1971,,Benfica,3-0,U. Tomar,J7,1971-1972
31/10/1971,,Belenenses,2-1,Sporting,J7,1971-1972
31/10/1971,,Beira-Mar,1-2,Barreirense,J7,1971-1972
24/10/1971,,Vitória SC,1-2,Sporting,J6,1971-1972
24/10/1971,,U. Tomar,2-0,Tirsense,J6,1971-1972
24/10/1971,,Leixões,0-1,FC Porto,J6,1971-1972
24/10/1971,,Boavista,0-0,Beira-Mar,J6,1971-1972
24/10/1971,,Benfica,1-0,Belenenses,J6,1971-1972
24/10/1971,,Barreirense,1-1,Vitória FC,J6,1971-1972
24/10/1971,,Académica OAF,0-0,Farense,J6,1971-1972
23/10/1971,,Atlético CP,0-1,CUF,J6,1971-1972
17/10/1971,,Tirsense,0-3,Benfica,J5,1971-1972
17/10/1971,,Farense,4-3,Leixões,J5,1971-1972
17/10/1971,,FC Porto,1-3,Atlético CP,J5,1971-1972
17/10/1971,,CUF,1-1,Barreirense,J5,1971-1972
17/10/1971,,Belenenses,0-1,Vitória SC,J5,1971-1972
17/10/1971,,Beira-Mar,2-1,U. Tomar,J5,1971-1972
16/10/1971,21:30,Vitória FC,5-1,Boavista,J5,1971-1972
16/10/1971,21:30,Sporting,1-0,Académica OAF,J5,1971-1972
10/10/1971,,Belenenses,0-1,Leixões,J1,1971-1972
08/10/1971,,U. Tomar,0-2,FC Porto,J2,1971-1972
03/10/1971,,U. Tomar,0-3,Vitória FC,J4,1971-1972
03/10/1971,,Tirsense,1-0,Belenenses,J4,1971-1972
03/10/1971,,Leixões,1-3,Sporting,J4,1971-1972
03/10/1971,,Boavista,2-0,CUF,J4,1971-1972
03/10/1971,,Benfica,2-1,Beira-Mar,J4,1971-1972
03/10/1971,,Barreirense,1-1,FC Porto,J4,1971-1972
03/10/1971,,Atlético CP,3-2,Farense,J4,1971-1972
03/10/1971,,Académica OAF,4-1,Vitória SC,J4,1971-1972
26/09/1971,,Vitória SC,3-2,Leixões,J3,1971-1972
26/09/1971,,Vitória FC,1-3,Benfica,J3,1971-1972
26/09/1971,,Farense,1-0,Barreirense,J3,1971-1972
26/09/1971,,FC Porto,6-0,Boavista,J3,1971-1972
26/09/1971,,CUF,2-1,U. Tomar,J3,1971-1972
26/09/1971,,Belenenses,0-1,Académica OAF,J3,1971-1972
26/09/1971,,Beira-Mar,0-0,Tirsense,J3,1971-1972
25/09/1971,,Sporting,2-0,Atlético CP,J3,1971-1972
19/09/1971,16:00,Tirsense,0-1,Vitória FC,J2,1971-1972
19/09/1971,16:00,Boavista,1-0,Farense,J2,1971-1972
19/09/1971,16:00,Benfica,1-1,CUF,J2,1971-1972
19/09/1971,16:00,Beira-Mar,1-3,Belenenses,J2,1971-1972
19/09/1971,16:00,Barreirense,1-2,Sporting,J2,1971-1972
18/09/1971,17:00,Atlético CP,2-2,Vitória SC,J2,1971-1972
12/09/1971,,Vitória SC,2-0,Barreirense,J1,1971-1972
12/09/1971,,Vitória FC,4-0,Beira-Mar,J1,1971-1972
12/09/1971,,Sporting,4-1,Boavista,J1,1971-1972
12/09/1971,,Farense,1-0,U. Tomar,J1,1971-1972
12/09/1971,,FC Porto,1-3,Benfica,J1,1971-1972
12/09/1971,,CUF,4-0,Tirsense,J1,1971-1972
11/09/1971,,Académica OAF,0-2,Atlético CP,J1,1971-1972
02/05/1971,,Tirsense,0-0,Sporting,J26,1970-1971
02/05/1971,,Leixões,5-0,Varzim,J26,1970-1971
02/05/1971,,Farense,0-0,Vitória FC,J26,1970-1971
02/05/1971,,FC Porto,0-0,Vitória SC,J26,1970-1971
02/05/1971,,Benfica,5-1,Académica OAF,J26,1970-1971
02/05/1971,,Belenenses,1-2,Boavista,J26,1970-1971
02/05/1971,,Barreirense,3-0,CUF,J26,1970-1971
25/04/1971,,Vitória SC,1-0,Farense,J25,1970-1971
25/04/1971,,Vitória FC,3-0,Leixões,J25,1970-1971
25/04/1971,,Varzim,0-4,Benfica,J25,1970-1971
25/04/1971,,Sporting,2-0,Belenenses,J25,1970-1971
25/04/1971,,CUF,2-1,Tirsense,J25,1970-1971
25/04/1971,,Boavista,0-1,FC Porto,J25,1970-1971
25/04/1971,,Académica OAF,2-0,Barreirense,J25,1970-1971
04/04/1971,,Vitória SC,1-0,Boavista,J24,1970-1971
04/04/1971,,Tirsense,1-0,Académica OAF,J24,1970-1971
04/04/1971,,Leixões,1-0,Farense,J24,1970-1971
04/04/1971,,FC Porto,2-1,Sporting,J24,1970-1971
04/04/1971,,Benfica,1-0,Vitória FC,J24,1970-1971
04/04/1971,,Belenenses,3-1,CUF,J24,1970-1971
04/04/1971,,Barreirense,4-0,Varzim,J24,1970-1971
28/03/1971,,Vitória FC,2-0,Barreirense,J23,1970-1971
28/03/1971,,Varzim,4-1,Tirsense,J23,1970-1971
28/03/1971,,Sporting,4-0,Vitória SC,J23,1970-1971
28/03/1971,,Leixões,1-2,Benfica,J23,1970-1971
28/03/1971,,Farense,0-0,Boavista,J23,1970-1971
28/03/1971,,CUF,1-0,FC Porto,J23,1970-1971
28/03/1971,,Académica OAF,0-0,Belenenses,J23,1970-1971
21/03/1971,,Vitória SC,0-2,CUF,J22,1970-1971
21/03/1971,,Tirsense,0-0,Vitória FC,J22,1970-1971
21/03/1971,,FC Porto,0-0,Académica OAF,J22,1970-1971
21/03/1971,,Boavista,1-0,Sporting,J22,1970-1971
21/03/1971,,Benfica,5-0,Farense,J22,1970-1971
21/03/1971,,Belenenses,1-0,Varzim,J22,1970-1971
21/03/1971,,Barreirense,0-0,Leixões,J22,1970-1971
28/02/1971,,Vitória FC,1-1,Belenenses,J21,1970-1971
28/02/1971,,Varzim,0-2,FC Porto,J21,1970-1971
28/02/1971,,Leixões,2-0,Tirsense,J21,1970-1971
28/02/1971,,Farense,1-2,Sporting,J21,1970-1971
28/02/1971,,CUF,0-1,Boavista,J21,1970-1971
28/02/1971,,Benfica,1-0,Barreirense,J21,1970-1971
28/02/1971,,Académica OAF,1-0,Vitória SC,J21,1970-1971
21/02/1971,,Vitória SC,3-0,Varzim,J20,1970-1971
21/02/1971,,Tirsense,2-4,Benfica,J20,1970-1971
21/02/1971,,Sporting,2-1,CUF,J20,1970-1971
21/02/1971,,FC Porto,2-1,Vitória FC,J20,1970-1971
21/02/1971,,Belenenses,3-0,Leixões,J20,1970-1971
21/02/1971,,Barreirense,1-0,Farense,J20,1970-1971
20/02/1971,,Boavista,0-1,Académica OAF,J20,1970-1971
07/02/1971,,Vitória FC,2-0,Vitória SC,J19,1970-1971
07/02/1971,,Varzim,2-0,Boavista,J19,1970-1971
07/02/1971,,Leixões,1-2,FC Porto,J19,1970-1971
07/02/1971,,Farense,1-1,CUF,J19,1970-1971
07/02/1971,,Benfica,3-1,Belenenses,J19,1970-1971
07/02/1971,,Barreirense,0-0,Tirsense,J19,1970-1971
07/02/1971,,Académica OAF,0-0,Sporting,J19,1970-1971
01/02/1971,,Sporting,5-1,Varzim,J18,1970-1971
31/01/1971,,Vitória SC,0-0,Leixões,J18,1970-1971
31/01/1971,,Tirsense,2-0,Farense,J18,1970-1971
31/01/1971,,FC Porto,4-0,Benfica,J18,1970-1971
31/01/1971,,CUF,2-1,Académica OAF,J18,1970-1971
31/01/1971,,Boavista,1-0,Vitória FC,J18,1970-1971
31/01/1971,,Belenenses,0-0,Barreirense,J18,1970-1971
24/01/1971,,Varzim,1-1,CUF,J17,1970-1971
24/01/1971,,Tirsense,3-1,Belenenses,J17,1970-1971
24/01/1971,,Leixões,0-1,Boavista,J17,1970-1971
24/01/1971,,Farense,2-2,Académica OAF,J17,1970-1971
24/01/1971,,Benfica,1-0,Vitória SC,J17,1970-1971
24/01/1971,,Barreirense,0-2,FC Porto,J17,1970-1971
10/01/1971,,Vitória SC,1-1,Barreirense,J16,1970-1971
10/01/1971,,Vitória FC,0-0,Sporting,J17,1970-1971
03/01/1971,,Sporting,4-0,Leixões,J16,1970-1971
03/01/1971,,FC Porto,3-0,Tirsense,J16,1970-1971
03/01/1971,,CUF,0-3,Vitória FC,J16,1970-1971
03/01/1971,,Belenenses,1-0,Farense,J16,1970-1971
03/01/1971,,Académica OAF,4-0,Varzim,J16,1970-1971
01/01/1971,,Boavista,0-3,Benfica,J16,1970-1971
27/12/1970,,Vitória FC,3-1,Académica OAF,J15,1970-1971
27/12/1970,,Tirsense,2-2,Vitória SC,J15,1970-1971
27/12/1970,,Leixões,1-0,CUF,J15,1970-1971
27/12/1970,,Farense,0-0,Varzim,J15,1970-1971
27/12/1970,,Benfica,5-1,Sporting,J15,1970-1971
27/12/1970,,Belenenses,1-2,FC Porto,J15,1970-1971
27/12/1970,,Barreirense,2-1,Boavista,J15,1970-1971
20/12/1970,,Vitória SC,0-1,Belenenses,J14,1970-1971
20/12/1970,,Varzim,0-1,Vitória FC,J14,1970-1971
20/12/1970,,Sporting,0-1,Barreirense,J14,1970-1971
20/12/1970,,FC Porto,3-0,Farense,J14,1970-1971
20/12/1970,,CUF,0-2,Benfica,J14,1970-1971
20/12/1970,,Boavista,1-0,Tirsense,J14,1970-1971
20/12/1970,,Académica OAF,2-1,Leixões,J14,1970-1971
13/12/1970,,Vitória SC,0-0,FC Porto,J13,1970-1971
13/12/1970,,Vitória FC,6-1,Farense,J13,1970-1971
13/12/1970,,Varzim,3-1,Leixões,J13,1970-1971
13/12/1970,,Sporting,2-0,Tirsense,J13,1970-1971
13/12/1970,,CUF,0-0,Barreirense,J13,1970-1971
13/12/1970,,Boavista,0-0,Belenenses,J13,1970-1971
13/12/1970,,Académica OAF,0-0,Benfica,J13,1970-1971
06/12/1970,15:00,Tirsense,1-1,CUF,J12,1970-1971
06/12/1970,15:00,Farense,2-0,Vitória SC,J12,1970-1971
06/12/1970,15:00,FC Porto,1-0,Boavista,J12,1970-1971
06/12/1970,15:00,Belenenses,0-0,Sporting,J12,1970-1971
06/12/1970,15:00,Barreirense,0-0,Académica OAF,J12,1970-1971
05/12/1970,21:30,Benfica,3-0,Varzim,J12,1970-1971
05/12/1970,16:00,Leixões,2-1,Vitória FC,J12,1970-1971
29/11/1970,,Vitória FC,2-0,Benfica,J11,1970-1971
29/11/1970,,Varzim,3-2,Barreirense,J11,1970-1971
